brand,subbrand,article_nr,toysff_name,toysff_price,amazon_name,amazon_price,diff_abs,diff_%
LEGO,Classic ,10914, LEGO® DUPLO® Deluxe Steinebox,39.99,LEGO-10914-Aufbewahrungsbox-Steine-Lernspielzeug-Kleinkinder,38.01,1.980000000000004,4.951237809452373
LEGO,Classic ,11010, Weiße Bauplatte,7.49,LEGO-11010-Classic-Winter-Sets-Konstruktionsbasis,7.75,-0.2599999999999998,-3.471295060080104
LEGO,Classic ,10913, LEGO® DUPLO® Steinebox,29.95,LEGO-10913-Aufbewahrungsbox-Lernspielzeug-Kleinkinder,21.44,8.509999999999998,28.41402337228714
LEGO,Classic ,10715, Kreativ-Bauset Fahrzeuge,23.95,LEGO-Classic-10715-Kreativ-Bauset-Fahrzeuge,20.46,3.4899999999999984,14.57202505219206
LEGO,Classic ,10715, Kreativ-Bauset Fahrzeuge,23.95,LEGO-Classic-10715-Kreativ-Bauset-Fahrzeuge,24.77,-0.8200000000000003,-3.423799582463467
LEGO,DUPLO® ,10931, Bagger und Laster,17.49,LEGO-10931-pelleteuse-Produkttitel-nachgereicht,17.54,-0.05000000000000071,-0.2858776443682145
LEGO,Classic ,10692, Bausteine - Set,14.99,LEGO-Classic-10692-Bausteine-Set-Lerncharakter,11.98,3.01,20.08005336891261
LEGO,Classic ,10713, Bausteine Starterkoffer - Farben sortieren,17.95,LEGO-Classic-10713-Bausteine-Starterkoffer,13.97,3.9799999999999986,22.17270194986072
LEGO,Classic ,10714, Blaue Bauplatte,6.95,LEGO-Classic-10714-Bauplatte-Kreatives,6.8,0.15000000000000036,2.1582733812949693
LEGO,Creator ,31058, Dinosaurier,13.49,LEGO-Creator-31058-Dinosaurier-Spielzeug,11.39,2.0999999999999996,15.567086730911784
LEGO,DUPLO® ,10933, Große Baustelle mit Licht und Ton,111.49,LEGO-10933-Construction-Produkttitel-nachgereicht,89.99,21.5,19.28424073907974
LEGO,DUPLO® ,10932, Baustelle mit Abrissbirne,55.95,LEGO-10932-d%C3%A9molition-Produkttitel-nachgereicht,48.63,7.32,13.083109919571045
LEGO,DUPLO® ,10930, Radlader,9.49,LEGO-10930-Produkttitel-fehlt-Wird-nachgereicht,9.49,0.0,0.0
LEGO,Creator ,31109, Piratenschiff,91.49,LEGO-31109-Produkttitel-fehlt-Wird-nachgereicht,77.84,13.649999999999991,14.919663351185912
LEGO,DUPLO® ,10924, Lightning McQueens großes Rennen,29.99,LEGO-10924-Produkttitel-fehlt-Wird-nachgereicht,27.85,2.139999999999997,7.13571190396798
LEGO,DUPLO® ,10922, Arielles Unterwasserschloss,29.99,LEGO-10922-Produkttitel-fehlt-Wird-nachgereicht,28.12,1.8699999999999974,6.235411803934637
LEGO,DUPLO® ,10919, Bathöhle,34.99,LEGO-10919-Produkttitel-fehlt-Wird-nachgereicht,31.23,3.7600000000000016,10.745927407830813
LEGO,DUPLO® ,10899, Elsas Eispalast,47.49,LEGO-10899-Duplo_F_Confidential-Produkttitel-nachgereicht,35.05,12.440000000000005,26.194988418614454
LEGO,Creator ,31108, Campingurlaub,72.49,LEGO-31108-Produkttitel-fehlt-Wird-nachgereicht,58.33,14.159999999999997,19.53372879017795
LEGO,Creator ,31107, Planeten Erkundungs-Rover,46.49,LEGO-31107-Lexplorateur-Produkttitel-nachgereicht,37.19,9.300000000000004,20.004302000430208
LEGO,Creator ,31088, Bewohner der Tiefsee,16.49,LEGO-Creator-31088-Bewohner-Tiefsee,11.69,4.799999999999999,29.10855063674954
LEGO,Creator ,31102, Feuerdrache,16.95,LEGO-31102-Creator-Feuerdrache-S%C3%A4belzahntiger,15.59,1.3599999999999994,8.023598820058995
LEGO,Creator ,31105, Spielzeugladen im Stadthaus,46.49,LEGO-31105-Creator-Spielzeugladen-Stadthaus,37.03,9.46,20.348462034846204
LEGO,DUPLO® ,10872, Eisenbahnbrücke und Schienen,24.99,LEGO-DUPLO-Eisenbahnbr%C3%BCcke-Schienen-10872-Konstruktionsspielzeug,19.49,5.5,22.008803521408566
LEGO,DUPLO® ,10929, Unser Wohnhaus,55.95,LEGO-10929-Wohnhaus-Puppenhaus-Kleinkinder,45.58,10.370000000000005,18.53440571939232
LEGO,DUPLO® ,10928, Tortenbäckerei,38.49,LEGO-10928-Tortenb%C3%A4ckerei-Caf%C3%A9-Wagen-Kleinkinder,29.23,9.260000000000002,24.058196934268643
LEGO,DUPLO® ,10925, Spielzimmer-Spielbox,13.49,LEGO-10925-Spielzimmer-Spielbox-Kleinkinder-Lernspielzeug,10.71,2.7799999999999994,20.607857672349883
LEGO,Creator ,31103, Raketen-Truck,24.99,LEGO-31103-Creator-Raketen-Truck-Gel%C3%A4ndewagen,18.42,6.569999999999997,26.290516206482582
LEGO,DUPLO® ,10882, Eisenbahn Schienen,19.99,LEGO-DUPLO-Eisenbahn-Schienen-10882-Konstruktionsspielzeug,16.07,3.919999999999998,19.60980490245122
LEGO,Friends ,31095, Jahrmarktkarussell,46.49,LEGO-31095-Produkttitel-fehlt-Wird-nachgereicht,38.74,7.75,16.670251667025166
LEGO,Creator ,31094, Rennflugzeug,28.49,LEGO-31094-Creator-Rennflugzeug,22.4,6.09,21.375921375921376
LEGO,DUPLO® ,10875, Güterzug,84.95,LEGO-10875-LEGO-DUPLO-G%C3%BCterzug-Kinderspielzeug,77.9,7.049999999999997,8.298999411418478
LEGO,Creator ,31087, Strandbuggy,10.95,LEGO-31087-Creator-Strandbuggy,9.99,0.9599999999999991,8.767123287671225
LEGO,Creator ,31090, Unterwasser-Roboter,16.49,LEGO-31090-Creator-Unterwasser-Roboter,15.95,0.5399999999999991,3.274711946634319
LEGO,DC Comics Super Heroes ,76160, Mobile Batbasis,82.95,LEGO-76160-tbd-LSH-2020-21-Produkttitel-nachgereicht,65.3,17.650000000000006,21.27787823990356
LEGO,DC Comics Super Heroes ,76159, Jokers™ Trike-Verfolgungsjagd,47.49,LEGO-76159-tbd-LSH-2020-20-Produkttitel-nachgereicht,38.98,8.510000000000005,17.91956201305539
LEGO,DC Comics Super Heroes ,76122, Clayface™ Invasion in die Bathöhle,91.49,LEGO-DC-Batman-Clayface-76122-Invasion-Bath%C3%B6hle-Bauset,73.71,17.78,19.433817903596022
LEGO,Architecture ,21052, Dubai,53.49,LEGO-21052-Architecture-Skyline-Kollektion-Sammlerset,42.88,10.61,19.835483267900543
LEGO,DC Comics Super Heroes ,76137, Batman™ vs. der Raub des Riddler™,9.49,LEGO-DC-Batman-76137-Batman-Riddler-Bauset,6.99,2.5,26.343519494204426
LEGO,Architecture ,21046, Empire State Building,84.49,LEGO-21046-Architecture-Empire-Buildinb,72.95,11.539999999999992,13.658421114924833
LEGO,Architecture ,21044, Paris,39.95,LEGO-21044-Architecture-Paris,39.95,0.0,0.0
LEGO,Disney Princess ,43176, Arielles Märchenbuch,15.99,LEGO-43176-Arielle-M%C3%A4rchenbuch-Princess,16.6,-0.6100000000000012,-3.814884302689188
LEGO,Architecture ,21043, San Francisco,39.95,LEGO-Architecture-21043-San-Francisco,38.95,1.0,2.5031289111389237
LEGO,Architecture ,21042, Freiheitsstatue,79.95,LEGO-21042-Architecture-Freiheitsstatue-Mehrfarbig,66.92,13.030000000000001,16.297686053783615
LEGO,Architecture ,21045, Trafalgar Square,59.99,LEGO-21045-Architecture-Trafalgar-Square-Bauset,56.53,3.460000000000001,5.767627937989666
LEGO,Disney Princess ,41166, Elsa und die Rentierkutsche,29.99,LEGO-41166-Confidential-Produkttitel-nachgereicht,20.71,9.279999999999998,30.943647882627538
LEGO,Disney Princess ,41165, Annas Kanufahrt,17.95,LEGO-41165-Confidential-Produkttitel-nachgereicht,16.61,1.3399999999999999,7.465181058495822
LEGO,NINJAGO® ,70673, ShuriCopter,29.49,LEGO-70673-LEGO-NINJAGO-70673-ShuriCopter-Bauset,21.99,7.5,25.4323499491353
LEGO,NINJAGO® ,71721, Drache des Totenkopfmagiers,72.49,LEGO-71721-Produkttitel-fehlt-Wird-nachgereicht,58.19,14.299999999999997,19.726858877086492
LEGO,NINJAGO® ,71720, Feuer-Stein-Mech,65.95,LEGO-71720-Produkttitel-fehlt-Wird-nachgereicht,53.6,12.350000000000001,18.726307808946174
LEGO,Disney Princess ,41168, Elsas Schmuckkästchen,39.49,LEGO-41168-Confidential-Produkttitel-nachgereicht,29.23,10.260000000000002,25.98126107875412
